INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,50% MAMU,,
"T. couchii, Devil",,,,,,,,,,,,,,
INDIV,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,,,,
UC1,6.08,227,295,1.113,1.18,1.147,1,0.0001,1.283,89.36%,,4.98,,
UC1,6.08,227,295,1.113,1.18,1.147,2,0.0005,2.556,44.86%,,,,
UC10,7.3,222,294,1.221,1.206,1.214,1,0.0005,2.544,47.70%,,5.12,,
UC10,7.3,222,294,1.221,1.206,1.214,2,0.0001,1.603,75.70%,,,,
UC2,5.11,221,296,1.093,1.137,1.115,1,0.0001,2.063,54.05%,,1.53,,
UC2,5.11,221,296,1.093,1.137,1.115,2,0.0005,8.432,13.22%,,,,
UC3,6.24,213,289,1.404,1.374,1.389,1,0.0001,1.633,85.06%,,3.45,,
UC3,6.24,213,289,1.404,1.374,1.389,2,0.0005,6.996,19.85%,,,,
UC4,6.19,234,311,,1.178,1.178,1,0.0001,1.431,82.32%,,3.92,,
UC4,6.19,234,311,,1.178,1.178,2,0.0005,3.658,32.20%,,,,
UC5,6.99,225,298,1.514,1.288,1.401,1,0.0001,1.431,97.90%,,no data,,
UC5,6.99,225,298,1.514,1.288,1.401,2,0.0005,1.764,79.42%,,,,
UC6,6.92,228,297,,1.408,1.408,1,0.0005,10.433,13.50%,,3.34,,
UC6,6.92,228,297,,1.408,1.408,2,0.0001,1.598,88.11%,,,,
UC7,6.12,226,305,1.435,1.194,1.315,1,0.0005,2.019,65.11%,,no data,,
UC7,6.12,226,305,1.435,1.194,1.315,2,0.0001,1.319,99.66%,,,,
UC8,5.98,213,283,1.351,1.406,1.379,1,0.0005,3.932,35.06%,,4.48,,
UC8,5.98,213,283,1.351,1.406,1.379,2,0.0001,1.288,107.03%,,,,
UC9,6.85,235,231,1.168,1.05,1.109,1,0.0005,1.841,60.24%,,no data,,
UC9,6.85,235,231,1.168,1.05,1.109,2,0.0001,1.261,87.95%,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
